idx,smiles,count
bide-uc-3763,O=C(O)c1c(F)cc(F)c(F)c1F,6
bide-uc-4663,COc1cc(C(=O)O)c(F)c(F)c1F,6
bide-uc-3557,Cc1cc(F)c(C(=O)O)c(F)c1,6
bide-uc-2226,O=C(O)c1c(F)ccc(Br)c1F,6
bide-uc-3215,O=C(O)c1c(F)cc(O)cc1F,6
bide-uc-2146,O=C(O)c1cc(F)c(Br)c(F)c1,6
bide-uc-648,O=C(O)c1cccc(Br)c1F,6
bide-uc-964,O=C(O)Cc1cc(F)ccc1F,5
bide-uc-4737,O=C(O)c1cc(Br)cc(F)c1O,5
bide-uc-1063,O=C(O)Cc1ccc(F)c(F)c1,5
bide-uc-5227,C[C@@H]1OCCN[C@H]1C(=O)O,5
bide-uc-72,CCC(Br)C(=O)O,5
bide-uc-2257,Cc1ccc([C@@H](O)C(=O)O)cc1,5
bide-uc-1256,COc1c(Br)cccc1C(=O)O,5
bide-uc-1080,O=C(O)Cc1ccc(Br)cc1F,5
bide-uc-915,O=C(O)[C@@H]1CCCO1,5
bide-uc-4381,O=C(O)C1COC1,5
bide-uc-261,O=C(O)C(F)(F)Cl,5
bide-uc-3463,C=CC(C)(C)C(=O)O,5
bide-uc-1798,O=C(O)C1CCCOC1,5
bide-uc-597,CC(C)[C@H](O)C(=O)O,5
bide-uc-34,O=C(O)CO,5
bide-uc-947,COc1ccc(C(=O)O)c(Br)c1,5
bide-uc-369,O=C(O)c1ccc(Cl)c(Br)c1,5
bide-uc-2218,O=C(O)c1c(Cl)ccc(F)c1Cl,5
bide-uc-887,O=C(O)c1cc(Cl)cc(Br)c1,5
bide-uc-839,O=C(O)c1cc(F)ccc1O,5
bide-uc-119,CC(C)(C(=O)O)c1ccccc1,5
bide-uc-276,Cc1ccc(C(=O)O)c(C)c1,5
bide-uc-995,O=C(O)CC(F)(F)F,5
bide-uc-380,O=C(O)C(F)(F)C(F)(F)F,5
bide-uc-2414,CC(C)(C(=O)O)C(F)(F)F,5
bide-uc-4844,O=C(O)CC1CC(F)(F)C1,5
bide-uc-559,CCC(C)(O)C(=O)O,5
bide-uc-1522,O=C(O)Cc1cc(F)c(F)c(F)c1,5
bide-uc-4067,C=C(CBr)C(=O)O,5
bide-uc-237,Cc1ccc(C(=O)O)cc1Br,5
bide-uc-4693,O=C(O)[C@@H]1CCOC1,5
bide-uc-4180,O=C(O)C1(O)CCC1,5
bide-uc-962,COc1cc(F)cc(C(=O)O)c1,5
bide-uc-1919,Cc1cc(C(=O)O)c(F)cc1Br,5
bide-uc-1643,COc1cc(C(=O)O)ccc1F,5
bide-uc-70,CNCC(=O)O,5
bide-uc-3005,C[C@@](O)(C(=O)O)C(F)(F)F,5
bide-uc-44,O=C(O)C1CCCN1,5
bide-uc-3316,Cc1cc(C(=O)O)cc(C)c1F,5
bide-uc-354,O=C(O)c1cccc(Cl)c1,5
bide-uc-859,Cc1cc(Br)cc(C(=O)O)c1,5
bide-uc-2129,COc1c(F)cccc1C(=O)O,5
bide-uc-911,Cc1cccc(C)c1C(=O)O,5
bide-uc-5067,O=C(O)[C@H]1C[C@@H](F)CN1,5
bide-uc-1566,Cc1cccc(O)c1C(=O)O,5
bide-uc-18,O=C(O)c1ccc(F)cc1,5
bide-uc-1749,C=C(Cl)C(=O)O,5
bide-uc-2213,O=C(O)c1ccc(Cl)c(F)c1F,5
bide-uc-2367,O=C(O)c1c(Br)cccc1Br,5
bide-uc-2434,O=C(O)[C@@H]1C[C@@H]1F,5
bide-uc-1882,Cc1cc(Br)cc(F)c1C(=O)O,5
bide-uc-76,O=C(O)c1ccc(Br)cc1,5
bide-uc-3825,CC(C)(CF)C(=O)O,5
bide-uc-1978,O=C(O)c1ccc(F)c(F)c1O,5
bide-uc-1568,Cc1cc(F)cc(C(=O)O)c1,5
bide-uc-4103,O=C(O)c1c(O)ccc(F)c1F,5
bide-uc-1883,Cc1cc(F)c(F)cc1C(=O)O,5
bide-uc-3180,O=C(O)c1ccc(F)c(Br)c1F,5
bide-uc-274,O=C(O)c1ccc(F)c(Br)c1,5
bide-uc-2303,O=C(O)c1ccc(F)c(F)c1Br,5
bide-uc-880,O=C([O-])c1ccc(F)c(F)c1F,5
bide-uc-4766,O=C(O)c1cc(Br)cc(F)c1F,5
bide-uc-902,O=C(O)c1cc(F)c(Cl)cc1F,5
bide-uc-2028,O=C(O)C1(F)CC1,5
bide-uc-1097,O=C(O)c1c(F)c(F)cc(F)c1F,5
bide-uc-5276,C[C@@H](C(=O)O)N1CCOCC1,4
bide-uc-3916,O=C(O)Cc1ccc(F)c(Cl)c1F,4
bide-uc-1472,Cn1cccc1C(=O)O,4
bide-uc-2783,Cc1ccc(Br)c(C)c1C(=O)O,4
bide-uc-1333,CC(C)(CCl)C(=O)O,4
bide-uc-777,O=C(O)C1CCC(F)(F)CC1,4
bide-uc-2474,O=C(O)c1c(F)ccc(Cl)c1Cl,4
bide-uc-1250,O=C(O)CC1CC1,4
bide-uc-1106,O=C(O)Cc1c(F)cccc1Cl,4
bide-uc-4655,O=C(O)[C@@H]1C[C@H]1c1ccccc1F,4
bide-uc-730,O=C(O)c1ccc(Cl)cc1Br,4
bide-uc-2027,O=C(O)c1cc(F)ccc1C(F)(F)F,4
bide-uc-4334,O=C(O)[C@@H]1C[C@H]1c1ccc(F)c(F)c1,4
bide-uc-2747,O=C(O)c1cc(Cl)cc(F)c1Cl,4
bide-uc-2137,CC[C@H](Br)C(=O)O,4
bide-uc-3960,O=C(O)C1=CCNCC1,4
bide-uc-3453,O=C(O)c1cc(Cl)c(Br)cc1F,4
bide-uc-4068,CC1CC(C(=O)O)C1,4
bide-uc-2741,Cc1ccc(C(O)C(=O)O)cc1,4
bide-uc-2973,COc1cc(C(F)(F)F)ccc1C(=O)O,4
bide-uc-1206,O=C(O)c1cc(F)cc(Cl)c1,4
bide-uc-1208,O=C(O)c1c(F)cccc1C(F)(F)F,4
bide-uc-569,Cc1c(Br)cccc1C(=O)O,4
bide-uc-321,CN(C)c1ccc(C(=O)O)cc1,4
bide-uc-55,O=C(O)c1cc(Cl)cc(Cl)c1,4
bide-uc-447,COc1cc(Cl)ccc1C(=O)O,4
bide-uc-1725,CN1CCC[C@@H]1C(=O)O,4
bide-uc-1072,C[C@@]1(C(=O)O)CCCN1,4
bide-uc-5305,O=C(O)c1c(O)cc(Br)cc1F,4
bide-uc-2615,C[C@](O)(C(=O)O)C(F)(F)F,4
bide-uc-2091,O=C(O)c1c(O)cccc1Cl,4
bide-uc-144,Cc1ccc(C(=O)O)c(O)c1,4
bide-uc-4010,O=C(O)c1ccc(CO)cc1F,4
bide-uc-2423,O=C(O)[C@@H]1C[C@@H](F)CN1,4
bide-uc-357,Cc1ccc(C)c(CC(=O)O)c1,4
bide-uc-626,Cc1ccc(C(=O)O)c(Cl)c1,4
bide-uc-199,CC(C)CC(=O)O,4
bide-uc-3777,O=C(O)C1CC1c1ccc(Cl)cc1,4
bide-uc-1139,Cc1ccc(CC(=O)O)c(C)c1,4
bide-uc-450,Cc1ccc(O)c(C(=O)O)c1,4
bide-uc-189,Cc1c(Cl)cccc1C(=O)O,4
bide-uc-883,O=C(O)c1cccc(F)c1Cl,4
bide-uc-348,Cc1cccc(C(=O)O)c1Cl,4
bide-uc-871,COc1ccc(Cl)cc1C(=O)O,4
bide-uc-2246,Cc1cc(Br)cc(C)c1C(=O)O,4
bide-uc-1796,CC1(C(=O)O)COC1,4
bide-uc-1636,O=C(O)c1cc(Cl)c(F)c(Cl)c1,4
bide-uc-2271,O=C(O)[C@@H]1COCCN1,4
bide-uc-3001,CC(C(=O)O)N1CCCC1,4
bide-uc-2377,COc1ccc(F)c(C(=O)O)c1,4
bide-uc-35,O=C(O)Cc1ccc(Cl)cc1,4
bide-uc-3142,Cc1c(F)cccc1CC(=O)O,4
bide-uc-2413,CC[C@@H](Br)C(=O)O,4
