idx,smiles,count
bide-uc-2953,COc1ccc(C(C)(C)C)cc1C=O,6
bide-uc-1157,O=Cc1cc(F)cc(C(F)(F)F)c1,6
bide-uc-809,O=Cc1ccc2c(c1)OCCO2,6
bide-uc-3677,Cc1ccc(C=O)[nH]1,6
bide-uc-4519,O=Cc1c(O)cccc1C(F)(F)F,6
bide-uc-564,O=Cc1ccc(Br)c(Cl)c1,6
bide-uc-4867,Cc1cc(O)cc(C=O)c1,6
bide-uc-1234,O=Cc1ccc(C(F)(F)F)c(F)c1,6
bide-uc-3517,Cc1ccc(Br)c(C=O)c1F,6
bide-uc-2562,Cc1ccc(C)c(C=O)c1O,6
bide-uc-239,O=Cc1ccc(Cl)cc1Br,6
bide-uc-57,O=Cc1ccc(Br)cc1,6
bide-uc-2661,COc1cc(C)c(C=O)cc1C,6
bide-uc-2003,COc1cc(C)cc(C=O)c1,6
bide-uc-773,O=Cc1ccc(Cl)c(Br)c1,6
bide-uc-2152,O=Cc1cc(F)c(Cl)cc1Cl,6
bide-uc-844,O=Cc1cc(F)ccc1O,6
bide-uc-2147,O=Cc1cc(Cl)c(F)cc1F,6
bide-uc-2391,COc1cc(F)c(C=O)cc1F,6
bide-uc-1866,COc1ccc(Cl)c(C=O)c1,6
bide-uc-3325,Cc1ccc(CC=O)cc1,6
bide-uc-115,O=Cc1ccccc1Br,6
bide-uc-4946,COc1cc(O)c(C=O)c(Br)c1,5
bide-uc-1598,COc1cc(Br)ccc1C=O,5
bide-uc-3373,CC(C)c1cccc(C=O)c1,5
bide-uc-4211,Cc1cc(Br)c(O)c(C=O)c1,5
bide-uc-1159,O=Cc1cccc(C(F)(F)F)c1F,5
bide-uc-1060,Cc1cccc(C=O)c1O,5
bide-uc-817,O=Cc1ccc(C(F)(F)F)cc1F,5
bide-uc-4237,Cc1cc(C=O)cc(C(F)(F)F)c1,5
bide-uc-5115,O=Cc1cc(F)c(Cl)cc1O,5
bide-uc-3416,O=Cc1ccc(F)c(O)c1,5
bide-uc-2290,Cc1cc(C)c(C=O)[nH]1,5
bide-uc-379,COc1ccc(C=O)c(O)c1,5
bide-uc-3997,Cc1c(F)ccc(C=O)c1Cl,5
bide-uc-5409,O=Cc1cc(Cl)cc(F)c1F,5
bide-uc-2471,O=Cc1c(Cl)cc(F)cc1Cl,5
bide-uc-3847,COc1cccc(Br)c1C=O,5
bide-uc-1085,Cc1ccc(C=O)c(Br)c1,5
bide-uc-207,CC(C)(C)c1ccc(C=O)cc1,5
bide-uc-466,O=Cc1cccc(Cl)c1F,5
bide-uc-2006,O=Cc1cccc(Br)c1Cl,5
bide-uc-4685,O=Cc1ccc(C(F)(F)F)cc1O,5
bide-uc-1217,O=Cc1c(Br)ccc(F)c1F,5
bide-uc-4391,COc1cc(C=O)c(F)cc1Br,5
bide-uc-714,O=Cc1cc(F)c(F)cc1F,5
bide-uc-575,O=CC1CC2C=CC1C2,4
bide-uc-4244,C=Cc1cccc(C=O)c1,4
bide-uc-2650,O=Cc1cc(O)cc(Br)c1,4
bide-uc-4873,CNc1ccccc1C=O,4
bide-uc-3608,COc1c(O)cccc1C=O,4
bide-uc-1956,COc1ccc(C=O)c(C(F)(F)F)c1,4
bide-uc-4641,O=CC(O)CO,4
bide-uc-3115,COc1cc(Cl)c(Cl)cc1C=O,4
bide-uc-292,O=Cc1cccc(C(F)(F)F)c1,4
bide-uc-2327,CN(C)c1ccccc1C=O,4
bide-uc-2385,COc1ccc(C=O)c(C)c1C,4
bide-uc-4472,CC(C)c1ccccc1C=O,4
bide-uc-1475,COc1cccc(C=O)c1Cl,4
bide-uc-744,COc1ccc(Br)c(C=O)c1,4
bide-uc-1776,O=Cc1c(Cl)cccc1Br,4
bide-uc-3434,Cc1cc(C=O)c(C)[nH]1,4
bide-uc-846,O=Cc1cc(F)ccc1Cl,4
bide-uc-1133,O=Cc1ccc(F)cc1C(F)(F)F,4
bide-uc-4121,CC(C)c1ccc(C=O)c(O)c1,4
bide-uc-1238,O=Cc1cccc(F)c1Cl,4
bide-uc-4387,Cc1ccc(C=O)cc1O,4
bide-uc-2725,Cc1cc(F)cc(C=O)c1O,4
bide-uc-335,COc1cccc(C=O)c1,4
bide-uc-1976,COc1cc(C=O)ccc1C,4
bide-uc-122,O=Cc1cccc(Br)c1,4
bide-uc-3280,O=Cc1cc(Cl)c(F)c(Cl)c1,4
bide-uc-5163,O=Cc1cc(F)c(F)c(Br)c1,4
bide-uc-1222,O=Cc1cccc(F)c1Br,4
bide-uc-3034,Cc1ccc(F)c(C=O)c1Br,4
bide-uc-2104,O=Cc1cc(F)cc(F)c1O,4
bide-uc-3594,Cc1cc(O)c(Cl)cc1C=O,4
bide-uc-1417,O=Cc1c(O)cccc1F,4
bide-uc-2393,Cc1cc(Cl)cc(C=O)c1,4
bide-uc-3304,COc1ccc(C)cc1C=O,4
bide-uc-235,O=Cc1cc(Br)ccc1O,4
bide-uc-5068,CN(C)c1cccc(C=O)c1,4
bide-uc-1822,COc1cccc(Cl)c1C=O,4
bide-uc-981,O=Cc1ccc(Br)cc1O,4
bide-uc-45,COc1ccc(C=O)cc1,4
bide-uc-3093,O=Cc1c(F)ccc(Cl)c1Cl,4
bide-uc-3166,O=Cc1cc(F)cc(Br)c1F,4
bide-uc-2903,COc1ccc(O)cc1C=O,4
bide-uc-2392,O=Cc1cc(Br)c(F)cc1O,4
bide-uc-3320,Cc1cccc(C=O)c1Cl,4
bide-uc-2394,Cc1ccc(Cl)c(C=O)c1F,4
bide-uc-1549,O=Cc1ccc(Cl)cc1O,4
bide-uc-635,O=Cc1cc(Cl)ccc1Br,4
bide-uc-3452,O=Cc1cc(F)cc(Br)c1O,4
bide-uc-3898,C=Cc1ccc(C=O)cc1,3
bide-uc-2068,O=Cc1cc(F)c(O)c(F)c1,3
bide-uc-3378,O=Cc1c[nH]c(Br)c1,3
bide-uc-4486,Cn1ccc(C=O)c1,3
bide-uc-2938,O=Cc1cc(F)c(O)c(Br)c1,3
bide-uc-2228,O=Cc1cc(Br)c[nH]1,3
bide-uc-2492,CC(C)(C)c1cccc(C=O)c1,3
bide-uc-960,O=Cc1c(O)cccc1Cl,3
bide-uc-484,O=Cc1ccc(O)c(Cl)c1,3
bide-uc-702,O=Cc1cc2c(cc1Br)OCO2,3
bide-uc-192,O=Cc1cc(Br)cc(Br)c1O,3
bide-uc-4798,O=CCC1CCOCC1,3
bide-uc-1413,O=Cc1ccc(O)cc1Br,3
bide-uc-4994,O=Cc1cc(Br)c(Br)cc1O,3
bide-uc-3870,O=Cc1cc(Cl)cc(Cl)c1F,3
bide-uc-184,Cc1ccc(C=O)cc1C,3
bide-uc-766,O=Cc1ccc(F)c(C(F)(F)F)c1,3
bide-uc-2590,COc1c(C)cc(C=O)cc1C,3
bide-uc-2923,O=CC1C(=O)Nc2ccccc21,3
bide-uc-26,O=Cc1ccc(Cl)cc1,3
bide-uc-1743,O=Cc1c(F)ccc(Cl)c1F,3
