idx,smiles,count
bide-uc-867,NCc1c(F)cccc1F,5
bide-uc-5087,C[C@H](N)c1cccc(F)c1F,5
bide-uc-3987,C[C@@H](N)c1cc(F)cc(F)c1,5
bide-uc-173,Nc1ccc(Cl)cc1F,5
bide-uc-4689,N[C@@H]1CCCOC1,5
bide-uc-5101,CC[C@H](N)c1cc(F)ccc1F,5
bide-uc-998,NCc1c(F)cccc1Cl,5
bide-uc-4380,NC1CNC(=O)C1,5
bide-uc-1696,COc1cc(N)ccc1C,5
bide-uc-3251,C[C@@H](N)c1cccc(F)c1,5
bide-uc-345,Cc1ccc(F)c(N)c1,5
bide-uc-545,CCCCN,5
bide-uc-2043,CC1CCC(N)CC1,5
bide-uc-518,Nc1cc(F)ccc1Cl,5
bide-uc-3613,CC(N)c1ccc(F)cc1F,5
bide-uc-890,NC1CCNCC1,5
bide-uc-3611,Cc1cccc(C(C)N)c1,5
bide-uc-4802,CN(C)C(=O)CCN,5
bide-uc-3771,Cc1cc(OCC#N)ccc1N,5
bide-uc-4955,COc1c(C)cc(N)cc1C,5
bide-uc-3924,COc1cc(F)c(F)cc1N,5
bide-uc-2115,CC1(N)CC1,4
bide-uc-2987,CC(C)(N)C1CC1,4
bide-uc-4818,Cc1ccc([C@@H](C)N)cc1Cl,4
bide-uc-2799,CN1CCC[C@@H](N)C1,4
bide-uc-2748,COc1cc(F)c(Br)cc1N,4
bide-uc-783,COc1cc(N)ccc1F,4
bide-uc-3544,NC1(c2ccc(F)cc2)CC1,4
bide-uc-4389,NCc1cc(F)c(F)cc1Cl,4
bide-uc-2429,COc1cc(C)cc(N)c1,4
bide-uc-2707,CC(N)C1CC1,4
bide-uc-384,Cc1ccc(N)c(Cl)c1,4
bide-uc-589,Cc1ccccc1CN,4
bide-uc-2234,COc1c(F)cc(N)cc1F,4
bide-uc-425,Nc1ccc(Br)c(F)c1,4
bide-uc-1482,Cc1ccc(C(C)N)cc1,4
bide-uc-1305,Nc1cccc(F)c1Br,4
bide-uc-991,COc1cc(N)cc(OC)c1,4
bide-uc-1878,C=C(C)CN,4
bide-uc-3072,COc1cccc(Cl)c1N,4
bide-uc-616,Nc1cc(Cl)c(F)cc1F,4
bide-uc-2395,Nc1cc(F)c(F)c(F)c1Br,4
bide-uc-3733,NCc1ccc(Br)c(F)c1,4
bide-uc-1439,NCc1ccc(Br)cc1F,4
bide-uc-639,COc1cc(N)ccc1Cl,4
bide-uc-2519,Nc1ccc(Br)c(F)c1F,4
bide-uc-429,Nc1c(F)cc(F)cc1Br,4
bide-uc-1633,NCc1ccc(F)cc1Br,4
bide-uc-5340,NC1(C(F)(F)F)CC1,4
